,번호,제목,글쓴이,날짜,조회수,링크
588,548,2015학년도 2학기 재단법인 강민성장학재단 4기-2차 장학생 모집 공고,행정실,2015-06-01,5679,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7055&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=40
589,547,2015-1학기 모자이크장학 신청 안내(6/1~6/19),행정실,2015-05-28,5568,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7037&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=40
590,546,2015학년도 2학기 국가근로장학사업 학생 신청 안내,행정실,2015-05-27,5020,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7032&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=40
591,545,"2015학년도 2학기 정부학자금(국가장학금, 학자금대출, 국가근로장학금) 통합 신청 안내",행정실,2015-05-26,5134,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7030&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=40
592,544,2015학년도 2학기 국가장학금 1차 신청 안내,행정실,2015-05-21,6151,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7011&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=40
593,543,2015학년도 2학기 교내장학금 신청 안내,행정실,2015-05-21,6678,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7010&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=40
594,542,2015학년도 엡손글로벌리더 장학생 선발 안내,행정실,2015-05-12,6413,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6975&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=40
595,541,2015학년도 1학기 국가장학금 소속대학 변경 신청 안내,행정실,2015-04-22,6147,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6930&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=40
596,540,2015학년도 주심장학재단 장학생 선발 안내,행정실,2015-04-21,6257,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6922&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=40
597,539,2015년도 1학기 사랑드림장학사업(삼성) 신규장학생 신청 안내,행정실,2015-04-13,7221,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6903&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=40
